Num,Ligand_SMILES,Product_SMILES,Temp (K),G,ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ligand_Compound_Name,Product_Compound_Name,Unnamed: 15
2583,FC(C1=CN=C(C2=N[C@@H](C(C)(C)C)CO2)C=C1)(F)F,C(C)[Si](C#C[C@@H](CC)C1=CC=C(C=C1)OC)(CC)CC,273.15,1.725,-92,L73,Ligand_386,Pyox,P_3741,NiH,literature,10.1038/s41467-021-24094-9,"(S)-4-(tert-butyl)-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole",(S)-triethyl(3-(4-methoxyphenyl)pent-1-yn-1-yl)silane,
4398,C1(C2(CC2)C3=N[C@H](C(C=CC=C4)=C4C5)[C@H]5O3)=N[C@H]6[C@H](CC7=C6C=CC=C7)O1,C1(=CC=CC=C1)[C@H](/C=C/CCCN1C(CCC1)=O)[Si](C)(C)C,278.15,2.1511,-96,L437,Ligand_88,Box,P_3320,RCC,literature,10.1021/jacs.7b11707,"(3aR,3a'R,8aS,8a'S)-2,2'-(cyclopropane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)","(S,E)-1-(6-phenyl-6-(trimethylsilyl)hex-4-en-1-yl)pyrrolidin-2-one",
6307,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,N1=C(N=CC=C1)N1CCN(CC1)[C@@H](CC(=O)OCCCC)C,298.15,1.8829,-92,L312,Ligand_112,Box,pplus_518,NiH,literature,10.1021/jacs.2c02343,"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",butyl (R)-3-(4-(pyrimidin-2-yl)piperazin-1-yl)butanoate,
1889,CC([C@@H]1N=C(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)OC1)(C)C,O=C(NC1=CC=C2C=CC=CC2=C1)[C@H](C)CCC3=CC=CC=C3,263.15,0.0384,-4,L18,Ligand_57,Box,P_70,NiH,HTE,10.1002/anie.202011339,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)",(R)-2-methyl-N-(naphthalen-2-yl)-4-phenylbutanamide,
1635,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)(C)C,O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F,263.15,0.1874,-15,L2,Ligand_353,Pyox,P_36,NiH,HTE,10.1002/anie.202011339,"(S)-4-(tert-butyl)-2-(pyridin-2-yl)-4,5-dihydrooxazole",(S)-2-methyl-N-phenyl-4-(4-(trifluoromethyl)phenyl)butanamide,
1663,C1(C2=N[C@H]3[C@H](CC4=C3C=CC=C4)O2)=CC=CC(C5=N[C@H](C(C=CC=C6)=C6C7)[C@H]7O5)=N1,O=C(NC1=CC=CC=C1)[C@@H](C)CCC2=CC=C(C=C2)C(F)(F)F,263.15,0.1272,-11,L31,Ligand_327,Pybox,P_36,NiH,HTE,10.1002/anie.202011339,"2,6-bis((3aR,8aS)-3a,8a-dihydro-8H-indeno[1,2-d]oxazol-2-yl)pyridine",(S)-2-methyl-N-phenyl-4-(4-(trifluoromethyl)phenyl)butanamide,
5883,N#C/C(C1=N[C@H]([C@@H](C2=CC=CC=C2)O1)C3=CC=CC=C3)=C4N[C@H]([C@@H](C5=CC=CC=C5)O/4)C6=CC=CC=C6,FC1=CC=C(C=C1)[C@@H](O)C1=C(C=CC=C1)OC,263.15,1.4389,-88,L68,Ligand_148,Box,pplus_122,RCC,literature,10.1002/anie.202201370,"(E)-2-((4S,5R)-4,5-diphenyl-4,5-dihydrooxazol-2-yl)-2-((4S,5R)-4,5-diphenyloxazolidin-2-ylidene)acetonitrile",(R)-(4-fluorophenyl)(2-methoxyphenyl)methanol,
111,C1(CC2=N[C@@H](CC3=CC=CC=C3)CO2)=N[C@@H](CC4=CC=CC=C4)CO1,O=C(C1=CC=CC=C1)N[C@H](C2=CC=C(C)C=C2)CC,303.15,0.1801,-15,L22,Ligand_60,Box,P_4,NiH,HTE,10.1002/anie.202011342,"bis((S)-4-benzyl-4,5-dihydrooxazol-2-yl)methane",(S)-N-(1-(p-tolyl)propyl)benzamide,
3443,CC(C1=N[C@H](CO1)C2=CC=CC=C2)(C)C3=N[C@H](CO3)C4=CC=CC=C4,CC1=CC=C(C=C1)S(=O)(=O)OCCCCC[C@@H](C(F)(F)F)C1=CC(=CC=C1)OC,253.15,2.1051,-97,L21,Ligand_59,Box,P_1175,C(sp3)-C(sp2),literature,10.1021/jacs.5b04725,"(4S,4'S)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)","(R)-7,7,7-trifluoro-6-(3-methoxyphenyl)heptyl 4-methylbenzenesulfonate",
4579,CC([C@H]1N=C(C2=N[C@H](C(C)C)CO2)OC1)C,O=C(OC1=CC=CC=C1)[C@H](C2=CC=C(C)C=C2)C(C)C,293.15,1.8513,-92,L46,Ligand_4,Biox,P_519,RCC,literature,10.1039/d1sc00822f,"(4R,4'R)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-2,2'-bioxazole",phenyl (S)-3-methyl-2-(p-tolyl)butanoate,
