Yield,S1_name,S2_name,Product_name,S1_smiles,S2_smiles,Product_smiles
57,phenyl(o-tolyl)methanone,potassium trifluoro(phenyl)borate,"2-(3-benzoyl-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=CC=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=CC=C3)=C2CC(O)=O
53,phenyl(o-tolyl)methanone,potassium trifluoro(4-fluorophenyl)borate,"2-(3-benzoyl-4'-fluoro-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(F)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(F)C=C3)=C2CC(O)=O
46,phenyl(o-tolyl)methanone,potassium (4-chlorophenyl)trifluoroborate,"2-(3-benzoyl-4'-chloro-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(Cl)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(Cl)C=C3)=C2CC(O)=O
43,phenyl(o-tolyl)methanone,potassium (4-bromophenyl)trifluoroborate,"2-(3-benzoyl-4'-bromo-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(Br)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(Br)C=C3)=C2CC(O)=O
27,phenyl(o-tolyl)methanone,potassium trifluoro(4-(trifluoromethyl)phenyl)borate,"2-(3-benzoyl-4'-(trifluoromethyl)-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(C(F)(F)F)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(C(F)(F)F)C=C3)=C2CC(O)=O
30,phenyl(o-tolyl)methanone,potassium (4-cyanophenyl)trifluoroborate,"2-(3-benzoyl-4'-cyano-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(C#N)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(C#N)C=C3)=C2CC(O)=O
30,phenyl(o-tolyl)methanone,potassium trifluoro(4-nitrophenyl)borate,"2-(3-benzoyl-4'-nitro-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C([N+]([O-])=O)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C([N+]([O-])=O)C=C3)=C2CC(O)=O
56,phenyl(o-tolyl)methanone,potassium trifluoro(p-tolyl)borate,"2-(3-benzoyl-4'-methyl-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(C)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(C)C=C3)=C2CC(O)=O
63,phenyl(o-tolyl)methanone,potassium (4-(tert-butyl)phenyl)trifluoroborate,"2-(3-benzoyl-4'-(tert-butyl)-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(C(C)(C)C)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(C(C)(C)C)C=C3)=C2CC(O)=O
66,phenyl(o-tolyl)methanone,potassium trifluoro(4-methoxyphenyl)borate,"2-(3-benzoyl-4'-methoxy-[1,1'-biphenyl]-2-yl)acetic acid",O=C(C1=CC=CC=C1)C2=CC=CC=C2C,F[B-](F)(F)C1=CC=C(OC)C=C1.[K+],O=C(C1=CC=CC=C1)C2=CC=CC(C3=CC=C(OC)C=C3)=C2CC(O)=O
